Time [s],TGS2620,TGS2602,TGS2603,TGS2610,TGS2611,TGS2600
1,0.1216247987,0.0033357891,0.0287697729,0.0193344655,0.0387619312,0.0918468815
2,0.1216349291,0.0033432624,0.0287590165,0.0193400951,0.0387704585,0.0918447211
3,0.1216444941,0.0033434534,0.0287811431,0.0193407056,0.038775435,0.0918465086
4,0.1216427808,0.0033435133,0.0287706319,0.0193404893,0.0387700527,0.0918269507
5,0.1216442017,0.0033509346,0.0287352711,0.0193368608,0.0387790364,0.0918330108
6,0.1216665638,0.0033487821,0.0287625762,0.0193386091,0.038780873,0.0918263223
7,0.1216760364,0.0033567919,0.0287984943,0.0193460118,0.0387873273,0.0918270772
8,0.1216849169,0.0033501009,0.0288014615,0.0193420088,0.0387939833,0.0918249318
9,0.1217029542,0.0033593926,0.0288166322,0.0193471935,0.0388028555,0.0918332686
10,0.1217227396,0.0033577732,0.028803593,0.0193524539,0.0388125732,0.0918410117
11,0.1217705606,0.0033601192,0.0288490379,0.0193585786,0.0388235415,0.091864542
12,0.1217908911,0.0033667361,0.0288674328,0.0193642483,0.0388346816,0.0918731152
13,0.1217758441,0.0033637159,0.0288662995,0.0193580307,0.0388283265,0.0918551821
14,0.1217011129,0.0033608751,0.0288634058,0.0193348587,0.0387957049,0.0917879253
15,0.1216475905,0.0033610366,0.028875509,0.0193261785,0.0387796391,0.0917413744
16,0.1216300552,0.0033619591,0.0288297206,0.0193142328,0.0387665394,0.0917165175
17,0.1216175714,0.0033683795,0.028870668,0.0193231864,0.0387683991,0.0917016629
18,0.1216022554,0.0033675775,0.0289035244,0.0193209789,0.0387676377,0.0916967477
19,0.1216017832,0.0033757577,0.0288956962,0.0193145131,0.0387713731,0.0916732575
20,0.1215971346,0.0033774153,0.0289308134,0.0193170098,0.0387697574,0.091672106
21,0.1216136143,0.0033789714,0.0289468561,0.019319648,0.0387774579,0.091675636
22,0.1216252734,0.003387544,0.0289790644,0.0193258229,0.0387890008,0.0916862163
23,0.1216416702,0.0033918498,0.0289710083,0.0193291778,0.0387985108,0.0917014106
24,0.1216420617,0.0033886008,0.0290173859,0.0193292949,0.0387927945,0.0916836016
25,0.1216325739,0.0033926827,0.0290211078,0.0193195452,0.0387886136,0.0916746175
26,0.1216031595,0.0033919522,0.029016343,0.0193185727,0.0387844503,0.0916547565
27,0.1215861149,0.0033969272,0.0290419581,0.0193160128,0.0387833308,0.0916404069
28,0.1215698479,0.0033958293,0.0290573775,0.0193144968,0.0387804925,0.0916226165
29,0.1216546548,0.003413539,0.0290670405,0.0193322523,0.0388493043,0.0916222162
30,0.1218739741,0.0034253109,0.029094627,0.0193606996,0.0389861789,0.0916156245
31,0.1221922594,0.0034405973,0.0291495243,0.0193910313,0.0391533923,0.0916271204
32,0.122605097,0.0034473142,0.0292093515,0.0194216932,0.0393283814,0.0916304343
33,0.1231728747,0.0034658208,0.0292752913,0.0194660429,0.0395661227,0.0916549691
34,0.1236539549,0.0034745691,0.0293072531,0.0195129098,0.0397551978,0.0916857372
35,0.124158839,0.0034819533,0.0293327461,0.0195552109,0.03993693,0.0917082953
36,0.1246306815,0.0034982394,0.0294178755,0.0195963577,0.0400860676,0.0917177799
37,0.1250418586,0.0035247904,0.0294783419,0.0196486824,0.0402151311,0.0917087217
