TGS2600,TGS2602,TGS2603,TGS2610,TGS2611,TGS2620
0.036562454425490526,0.00575592768808279,0.014552568914300906,0.006787469932055638,0.01631136870949369,0.043767699138432335
0.03650721530385165,0.005753829692507529,0.014512249792709203,0.006786015065041869,0.01630977244163393,0.04370828233955013
0.036453577773408366,0.005751430391383604,0.014466458645046368,0.0067849035733273675,0.016308966465291397,0.04364093161936675
0.036396897508468216,0.005749151392270651,0.014423950798798406,0.00678443608951773,0.0163092620404268,0.04356520061197272
0.03633026499692808,0.005745109039726561,0.014346029653550838,0.00678321953801354,0.01630916840490075,0.04347601531117545
0.036264428411073996,0.005739566447173308,0.014238170271007931,0.006781572356511527,0.01630912244851996,0.04338386650345236
0.03619304250006872,0.005735348852305304,0.014157561232179447,0.006780576965540276,0.01630939011985493,0.04329205269126005
0.036119430790541925,0.005732387708444652,0.014102750889648016,0.006780149139208611,0.016309843774272584,0.043205451649588514
0.036056975502619666,0.005729476793414703,0.014049454480285136,0.006780006600974993,0.01631070607759115,0.04313368678455441
0.0360076626851136,0.005727258102136875,0.014010651129828845,0.006780390780861858,0.016312021907353466,0.04308193918731318
0.035943933843081435,0.005720987088132653,0.013953908255524422,0.006779748834243704,0.016311152536487163,0.04300677860382263
0.035867994794837536,0.005710199756588966,0.013876405577238751,0.006777975500590609,0.016307908590557717,0.04290961564992556
0.03579749072485669,0.0056976635131355405,0.013804419229955416,0.006776016474432024,0.01630358199205546,0.04281891946521301
0.035727850641324964,0.005682096148883754,0.013730537422149715,0.006773484231243411,0.01629745899415999,0.04272647086042893
0.03566821496068423,0.005690848151208282,0.013700074540875191,0.006774899359825298,0.016298792263505526,0.04265419534949224
0.035621972628717524,0.005726759025434944,0.013720714583385864,0.006780766801060586,0.016308481094656144,0.042607719268383734
0.03555347207638549,0.005714883599634904,0.013654530328079787,0.0067797513452990225,0.016304457883732106,0.042520024337655726
0.035463332235022384,0.0056567463888306775,0.013504087569427128,0.006772225490330435,0.016287528795847595,0.042393198336486734
0.03539683520933202,0.005648582211541942,0.013448811988046164,0.006770876072386517,0.01628493736438567,0.04231334788500531
0.03534914218346045,0.005680256993443794,0.013470267898268964,0.006774062446393475,0.016293793798395163,0.042271971200637214
0.03604540970502535,0.007027543028572299,0.014502499359176297,0.006927067418204249,0.01651400374242676,0.042749098543995036
0.04130409355881305,0.02630311466547606,0.02803435545866781,0.0095100816975515,0.019787473990748147,0.05253397027319825
0.046687638679063614,0.053818099372846116,0.044068202309284106,0.01134602510904572,0.02202299077047357,0.062391340291791476
0.049260333224364336,0.0712591016947021,0.051819247391472506,0.011962110075050764,0.02277129564513577,0.06607971804998003
0.05103888723988409,0.0856944649293976,0.05728055147087417,0.012417528250921038,0.02333356466714833,0.0683818541630108
0.052383112926009806,0.097943237404147,0.0612357199073032,0.012779818548105526,0.023778934818304624,0.07001224136339547
0.05343498840322134,0.10879288105865903,0.06413820976498323,0.013061781479774359,0.02413103795833436,0.07124256865197559
0.05451136283880053,0.1199334972941294,0.06707021175468819,0.01336863328926027,0.02455369131434361,0.0725706954884241
0.0552450817162156,0.12793305519859813,0.06889908698116985,0.013565597838264595,0.024831864000909,0.07341807857106368
0.055835472490508416,0.13470170200668774,0.07028880768029963,0.013705511066000129,0.025046667544594874,0.07411825271207095
0.05635698604190127,0.14066874356289807,0.07140254609535493,0.013837835699788326,0.025244191072721217,0.0747283991140706
0.056842470538096886,0.14608204102955494,0.07236759204707717,0.01396480060888418,0.02542260800388146,0.07530511339979266
0.05731695075161215,0.15152297251243196,0.07314572187938928,0.014063579040464066,0.025577831029256204,0.0758025961385267
0.05770244007849652,0.1554189743304382,0.07388194977586973,0.014149408999482409,0.025725067666049786,0.07626138685801133
0.0580505259007598,0.15895727634217674,0.0744194148216893,0.014217838132108963,0.025838826015456975,0.07664932173974362
0.05833057621181431,0.16194234323636514,0.07481980206987186,0.014270793137343968,0.02592392403163617,0.07697595702435961
0.058650929013894425,0.16517672333661895,0.07524562715939656,0.014323597673650615,0.026005165044367468,0.07732172037699367
0.0589514793785267,0.16758347526617992,0.07571143333474481,0.014378378904129172,0.02608139300318675,0.07766528958636712
0.05920391459415115,0.16979774000500272,0.07604008008370693,0.014418010499300318,0.02614522797229828,0.07797093100471172
0.05940004581012818,0.1716530995658581,0.07627008998007882,0.014446333334243328,0.026202435790327574,0.07824582423839399
0.059596625420979,0.17336472882028986,0.07653518419390079,0.01447622609064226,0.026259530528205392,0.07853727184811632
0.059784111449327375,0.1750102480272886,0.07682203690888895,0.01450649485010255,0.026318346148870016,0.0788432249978459
0.059958272066357364,0.17637772317153985,0.07704014612627894,0.014529491955130841,0.026362792588481985,0.07910056801077532
0.06012878529986755,0.1775423609321464,0.07721190850218965,0.014547541472956182,0.02639435360211605,0.07931524554559015
0.06029662080155716,0.17865058762771754,0.07739040468403048,0.014565382606732647,0.02642463268335891,0.07952388502405686
0.0604657711212978,0.17970444113609602,0.07756785178586534,0.01458262677300046,0.026451237742798873,0.07971583394197887
0.06062009767008542,0.1806211491505575,0.0777332258483399,0.014594290738683591,0.026471605098993208,0.07991400832646385
0.06076093376764091,0.18142864281762733,0.07789688518975703,0.014601077319842044,0.026487432345695762,0.08012524755409088
0.06090231926258996,0.18217810458517714,0.07806674657957663,0.014611530309979574,0.026507547174161167,0.08033294871956145
0.061042112717397026,0.18286758941508208,0.0782460797635464,0.014625513128619037,0.02653299667287871,0.08054524690791172
0.06117111954121809,0.18348038454524893,0.078394027996725,0.014633552465422741,0.02655141652978409,0.08073923837449387
0.06129117480464584,0.18402931394938968,0.07851094967888626,0.014637026197376241,0.02656468759223468,0.0809128588981446
0.06140635491265785,0.18453668638642412,0.07862271637679162,0.014641537340922503,0.026581339426338876,0.08108503576998206
0.06151544630309744,0.18500733072856695,0.07872087596877016,0.014645782694880078,0.026599899767852302,0.08125048423265137
0.06162830011539661,0.18542647997673384,0.07883013719182418,0.014648744015376825,0.02660731702968297,0.08140873222758192
0.06174646701223248,0.18580222097013907,0.07895550238138918,0.014651209582217209,0.02660388918239533,0.08156193570073941
0.061864874168886586,0.18615248991297445,0.07907948545294123,0.014653213643755143,0.026605850911861125,0.08170656165389854
0.061986593566028765,0.18647982170505364,0.0792096873544368,0.01465486350266798,0.02661131145350133,0.0818431004144588
0.06210406905257305,0.18680127900590665,0.0793587115301107,0.014658894193040218,0.026622197381399752,0.08199083935269183
0.062216922123487915,0.18712547116096911,0.07952751148673842,0.014665694309923578,0.026642199993673097,0.08215115073207127
0.062331764538869926,0.18745134259557047,0.07971734214008992,0.014674259941762604,0.026664579654913232,0.08231548546970638
0.06244708101511023,0.18778860155033134,0.07993276435468682,0.014685482139955082,0.026691201795744773,0.08248918344641103
0.06254902401914443,0.18806183255694384,0.08011411859451699,0.014690008098463688,0.02670124782642208,0.08263679119675048
0.06263714273172742,0.18826890961247106,0.08025826138706707,0.014687119356918663,0.026691916520722628,0.08275536804666325
0.06271703945686236,0.18845761130019092,0.08039863206897134,0.014682135014054453,0.026687633566236397,0.08286681019148702
0.06278507653444745,0.18861091779634495,0.08052034102885826,0.01467260813528934,0.026683556797607512,0.08296198686653421
0.06285953809627047,0.18876399473551672,0.08067494168768026,0.014670753876453918,0.0266854118548425,0.08307675584176934
0.06294178350522782,0.18892407014729493,0.08086849148616697,0.014677894204487637,0.026697754739496427,0.08321561220129832
0.06302413122462326,0.18906161357390672,0.08106402563706819,0.014686142456117482,0.026715294525479067,0.0833539104185096
0.06311153154304064,0.18918679711147046,0.08127498200690578,0.014698757474644228,0.02674146969782801,0.0835013239182285
0.06319020639022545,0.1893123096889688,0.08147473941138098,0.014705572941311125,0.026755964220247213,0.08363176481696377
0.06325946693298776,0.1894373011225433,0.08165812306785489,0.01470524779233666,0.026757372240383652,0.08374135282479732
0.06332846114325685,0.18956464267375547,0.08184883873660778,0.014705389029348696,0.026759218333059227,0.08385069016290632
0.0633940974922188,0.18969817514741733,0.08203951977083553,0.014703310660558478,0.02675654753813539,0.0839528055762351
0.06346314833481205,0.1898149911366208,0.0822267164420125,0.014697547908177368,0.026753745187637776,0.08405138302873268
0.06353708403230446,0.18991569024191574,0.08241228922942391,0.014688491956653412,0.02675216885127827,0.08414843105957467
0.06361037008730237,0.1900156027312992,0.08259181292571842,0.014675729664710252,0.026745755663298502,0.08423644711060982
0.06368503445070832,0.19011039430041354,0.08276458580288837,0.01465890684157126,0.02673565902016423,0.08431651800933992
0.06375530547602737,0.19019233310838085,0.08295088777540788,0.014650965235606859,0.026731410487676303,0.08439929744474729
0.06382025959357804,0.1902624826398588,0.08315124933607371,0.01465293696465052,0.026733009371149755,0.08448448802945767
0.06388440432043316,0.1903217795121089,0.08335511789841354,0.014649251354732785,0.02672984506574733,0.08456767128830905
0.06394614985999167,0.19036855669272726,0.08356737083773541,0.014642511258708487,0.02672355391462406,0.08465126367350734
0.06401501033866414,0.19041674548256285,0.08377140348105341,0.014640727861396668,0.026722943793115225,0.08473703857142129
0.06409228128168996,0.1904671409496172,0.08396535033038291,0.01464188649626555,0.026726875764593355,0.08482530259930149
0.06417216347139452,0.19051166116397697,0.08416115083541204,0.01464392591964225,0.02673160878827446,0.084917306027752
0.06425739668812704,0.1905537620203229,0.08435453282596382,0.01464785368888151,0.02673865617486665,0.08501396143235326
0.06432519325918548,0.19059440578357445,0.08454257951089733,0.014650020702976316,0.026741969788410036,0.0850967041814513
0.06437320175099556,0.19063343020083445,0.08472582011462074,0.01464995465871504,0.026740687542353717,0.08516450896156544
0.06441462474282678,0.19067333954989404,0.08490207482397408,0.014649844038735312,0.026738623653049243,0.08522732620690583
0.06444320881848795,0.1907147281749671,0.08507040573479131,0.014648666652466075,0.026734050733388238,0.0852804255888721
0.06447913790001596,0.19075386528322155,0.08523073047182553,0.014646827326720959,0.02673287573657052,0.08534216371649649
0.06452452128477038,0.1907914014085933,0.08538191803196128,0.014644377400579804,0.026735752617879964,0.08541447847544993
0.06456420950213798,0.19083007925110915,0.08552273041833436,0.014640181232113003,0.02673832543343516,0.08548460220556936
0.06460322488094197,0.1908695321160342,0.08565232888438144,0.0146342178367481,0.026742097622860374,0.08555726170788293
0.06464972428988329,0.19090210840561775,0.08578201885999306,0.014629900300453968,0.02674432473560329,0.08562353903862896
0.06470325576189083,0.1909276112891609,0.08591208608919343,0.014627251515711703,0.02674438895666589,0.08568171691932533
0.06476400003657247,0.19094970569347025,0.08603590495210969,0.01462450242227874,0.026744797788991814,0.0857399223214571
0.06483423889574559,0.19096649165320675,0.0861560916855065,0.014622441193395027,0.026744755667150857,0.0857957261961585
0.06489246211106363,0.19097408034430047,0.08626138538819278,0.014618695690611168,0.02674249733882288,0.08585006798211675
0.06493778692766126,0.1909720076920377,0.08635027218291284,0.014612975682530482,0.02673806289215911,0.08590386154443032
0.06498280972501329,0.1909604029005128,0.08643012144412927,0.014607044433834688,0.026731606967988826,0.08595471849030402
0.06502238988170939,0.19093783546245213,0.08649778731146768,0.014600288224152987,0.026722636182341282,0.08600306618357044
0.06506343564052602,0.190914575296794,0.08657563640185223,0.014595959601478128,0.02671734847523291,0.08605259338029872
0.06510722185458677,0.19089087856077,0.0866661759625755,0.014594524990657854,0.02671614567391061,0.08610329504069704
0.06514626219240795,0.19086024552649694,0.0867561168813866,0.014593957753548669,0.02671559752913443,0.08615376971854702
0.06518221608504095,0.1908249705889917,0.08685165564820994,0.014595200177045275,0.026717297421296308,0.08620492550988736
0.06521128117383455,0.19079204558428065,0.0869292706581792,0.01459247495737771,0.0267157662061776,0.08625396837556412
0.06523196946940996,0.19076168584085645,0.08698645946892618,0.014585177351809041,0.02671040415626284,0.08630073497063882
0.06525085431256808,0.19073237457957176,0.08703988365134377,0.014576884629708391,0.026705182375935343,0.08634736887972214
0.06526677253479027,0.1907061468835993,0.08708351267129953,0.014566041551369131,0.02669870267817508,0.08639325497085006
0.06528730944340318,0.19067329935893804,0.08712100551908597,0.01455940510408861,0.02669269415515453,0.08643154777073543
0.06531435933407033,0.1906335779873369,0.08715386178839263,0.014557760238188137,0.02668762459495244,0.08646178610088595
0.06534369551501362,0.19059366570207031,0.0871753673353212,0.014556564794055891,0.026681537177832143,0.0864867386519237
0.0653780392645843,0.19055147503983388,0.0871864361338937,0.014557624308138327,0.026674918381112654,0.08650447732089389
0.06541864890114818,0.19053299785765515,0.08723531142619079,0.014559134666000924,0.026672184874084563,0.08653963302242113
0.06546610653566906,0.19054158343819474,0.08732566431363202,0.014560700887048332,0.02667354089478276,0.0865943974477762
0.06552100898242974,0.19056885103497112,0.08741566227706364,0.014565920710410456,0.02667895649054814,0.08665606598738665
0.06558422810311935,0.19062304902357494,0.0875166788140669,0.01457451576225359,0.02668980735560033,0.08673140700847419
0.0656380805301932,0.1906744058950017,0.08757743488845024,0.014572166569673629,0.02669580532687028,0.08680790504543058
0.06568143766390902,0.1907223628389602,0.08758756395385786,0.0145582322860068,0.026696677018421697,0.0868846662696452
0.06569895318919107,0.1906379434290367,0.0874614952015494,0.014532540294993556,0.026663352764412673,0.08683533069887628
0.06568347956711276,0.19015353174129146,0.08717063565695593,0.014453448050892657,0.02654207099864795,0.08664317994326297
0.06523359892126805,0.18637734548149834,0.08579375046579539,0.014061904626909042,0.02595375453717582,0.08534086571079226
0.0642995560658237,0.17882286505580258,0.08319666450179128,0.013467812885138987,0.025134091968026743,0.08307198890148257
0.06335977038537864,0.1710108897674258,0.08076711754490716,0.012957529341561672,0.024424951654607712,0.0809772187085711
0.062322088262776874,0.16239787886101412,0.07831148866084896,0.012499235109218371,0.02381036079737893,0.07898352823868447
0.06125018801208401,0.1535973893976345,0.07578375477290153,0.01206684411938764,0.02323505094564944,0.07708638656578216
0.060049091212068126,0.14301042962800775,0.07308805144099725,0.011604457023194771,0.022628332634054327,0.07508327915647386
0.058978739793875,0.13399735637553736,0.07057022709964536,0.011213069839179305,0.02211889698851183,0.0733299953997143
0.05794841000064763,0.12501309439747468,0.06818937890016305,0.010862410039693349,0.021663423281460814,0.0717430252737263
0.05690554507461215,0.11621843456900502,0.06575509882106242,0.01051743961424176,0.021214879399569217,0.0701351881792754
0.05586159841643692,0.10761853745150868,0.06331714177759794,0.01018306841388822,0.020776593455775545,0.06853015582273342
0.05474046691525717,0.09777825925486254,0.060713613438279176,0.00985631194576471,0.02037205598969192,0.06700045078728126
0.053822441957603086,0.09004094738420136,0.058525788234896986,0.009589960963371388,0.02003532759295156,0.06569628673872242
0.052899755126451474,0.08254255991437025,0.05627310702607286,0.009329431737670365,0.019705799490667752,0.06440293907925268
0.05205569232553603,0.07564033105960627,0.05419446437631106,0.00909860219258437,0.019403406730694867,0.06320542625419925
0.05120831631974467,0.06900785153832614,0.05206654037511373,0.008876675025988006,0.019125668575498054,0.06205636467420093
0.05032570970813972,0.061747201062942965,0.0498944265180264,0.008662232700627865,0.018868251053621908,0.06094599493749245
0.04955563839974463,0.05603788904362037,0.04791499301834508,0.008477531429749642,0.01863906233092242,0.05995197397855824
0.04886242041094837,0.05087691489611317,0.04610382048648363,0.008319313457246283,0.018436665183014483,0.059067337636281476
0.0482021428689196,0.046154671404157264,0.044353719698890674,0.008173888825816846,0.018253413596971874,0.05824421466875353
0.047589950068602886,0.04185839334100873,0.042706462399470964,0.008044173303069483,0.0180897216001841,0.05749505784750316
0.04694841299928975,0.03733983517805338,0.04105525543488133,0.00792540865912586,0.017939578048176495,0.056764829433641174
0.04641738928645031,0.03390612488767083,0.03956440540776621,0.007815322737886621,0.017800387719117728,0.05610162406183642
0.045898864426146914,0.030784794461041282,0.03812123222329487,0.007716347334511413,0.01767409019943206,0.05547565231386882
0.04542855849985844,0.02799916246857924,0.036779787906824006,0.0076262351935688436,0.017557736497046467,0.054896399661580164
0.04493957844455228,0.025194171793715647,0.03548873584509665,0.007546051803808002,0.017454060566404066,0.05434966897508109
0.044541982412234886,0.0230944139760519,0.03429912721343667,0.007475203325376287,0.017362087040266542,0.05386372566502807
0.04414688610303637,0.021105740772228845,0.033173589297351584,0.00741029198637147,0.017276963182662582,0.05340018286546065
0.04379077419093906,0.01941107208301865,0.032125465828213504,0.0073508251091185285,0.01719826507415315,0.05296766075011263
0.04345240079385314,0.017875137185301378,0.03112998953010818,0.007298356143417566,0.017128347556008706,0.05256346968668976
0.04313049716681523,0.016454870525993946,0.03018407795408782,0.007251782806155681,0.017065804038344082,0.05218277285457327
0.042832039795065134,0.015252079486974868,0.029295782810103886,0.007209229271347276,0.01700818694439366,0.051825320303332416
0.04255273699797151,0.014223120595361648,0.028457835611155474,0.007170287234222137,0.01695508370391627,0.05148796916062051
0.042290031075577286,0.013302715891383541,0.0276698046343782,0.007135762924801992,0.016906786718133122,0.051169159509445186
0.042043111257307995,0.012485854826503441,0.026929618591467003,0.00710492914390058,0.016862338957108848,0.05086664563733132
0.041809022344018607,0.01176328137503672,0.02622974668182304,0.007076474190225992,0.016820526882347774,0.05057663443564772
0.0415860822887243,0.011110851678631512,0.02556777687391131,0.007050055858020861,0.016780742865912884,0.05029687217378986
0.04137264838257144,0.010550558581674736,0.024943657864927044,0.007025157104435768,0.016744079101118896,0.05002766238138647
0.04116672528757377,0.010068066821558095,0.024353799270982097,0.007001127845980097,0.0167099167520621,0.04976658276129401
0.04096659662445637,0.009623333739642307,0.02379403063711262,0.006977499536179089,0.016676703330823776,0.04950996968169444
0.04077040917577918,0.009209125363631004,0.023261749621664208,0.006953692289045618,0.016644204761420856,0.04925604606328001
0.04058427626791829,0.008859184183144634,0.022759981582762826,0.006933507332422946,0.01661499236312487,0.04901565378378928
0.040407196569389285,0.00856095677292203,0.022286217771234053,0.006916843762735232,0.01658873299950472,0.04878775534967877
0.04023358594385254,0.008282123328529345,0.021834820656455832,0.006901076469984513,0.016563624343780996,0.04856429011965254
0.04006392949468614,0.008021337441362686,0.021404508753920998,0.006886918163624833,0.016540001974019912,0.04834679863665277
0.03990161900588792,0.0077977343732685426,0.020996846039729417,0.006873346475202189,0.016517947212013964,0.04813559744087067
0.03974566654295412,0.007602865070621752,0.02060956456604101,0.006859921049529208,0.016497138518261782,0.04792928710420645
0.03959406872976466,0.007419367066029354,0.020239211948439983,0.006847544903590419,0.016477605186860412,0.047728150506249775
0.039447030412992204,0.007245944452273349,0.019884519457536026,0.0068358056068265225,0.016459205115046976,0.04753157835339937
0.0393062696118333,0.0070989055891053894,0.01955295759368968,0.006824925718518218,0.01644197665964545,0.04734375573956859
0.03917147213160727,0.006973927104377715,0.01924349817591155,0.006814926176764682,0.01642583615593202,0.04716478098295725
0.039041602635527306,0.006857892400959237,0.018950294440209414,0.006805277229662894,0.01641054768878086,0.04699178150364367
0.038916867091096034,0.006751504329024125,0.01867419703749292,0.006795979799182808,0.01639604348972563,0.04682566457344051
0.03878653051532936,0.006653414086885463,0.01839674807629221,0.006785345157601705,0.016378122898653025,0.04664882812058955
0.03864930030182185,0.006560002529794038,0.01811484412238453,0.006773052250516253,0.016356244806462708,0.04645917587237956
0.03851022475440013,0.006470051963639249,0.01783706925440261,0.006759820977078934,0.0163322465858247,0.046265584533228085
0.03836608207076261,0.006381026606501345,0.01755739439916067,0.006745068286354539,0.01630482635634885,0.046062872431269636
0.03824804387460578,0.006323058517662479,0.0173641753587442,0.00673551507538854,0.016287197183612958,0.04590297248657356
0.038158838985158636,0.006297294663803733,0.017265335244715997,0.006731707935597225,0.016280467527327647,0.0457906705302115
