Time [s],TGS2620,TGS2602,TGS2603,TGS2610,TGS2611,TGS2600
73,0.04961256,0.03150311,0.03286064,0.00945635,0.02016409,0.03527768
74,0.04954993,0.03152458,0.03284326,0.00944746,0.02014724,0.03531364
75,0.04949012,0.03154405,0.03282016,0.0094418,0.02013314,0.03534841
76,0.04943574,0.03156973,0.03279994,0.00943474,0.02011908,0.03537856
77,0.04938606,0.03158428,0.03278351,0.00942893,0.02010652,0.03541149
78,0.04932934,0.03159689,0.03275966,0.00942178,0.02009231,0.03544974
79,0.04928374,0.03160444,0.03274898,0.00941403,0.02008163,0.03547924
80,0.04924311,0.03161334,0.03272241,0.00941373,0.0200715,0.03551153
81,0.04920059,0.03161711,0.03270046,0.00941105,0.02006117,0.03554287
82,0.0491549,0.03162764,0.03267418,0.00940643,0.02005203,0.03557546
83,0.04911859,0.03162391,0.03265272,0.00940251,0.02004493,0.03561067
84,0.04908258,0.0316256,0.03262848,0.00939973,0.02003673,0.03563183
85,0.04904572,0.03162749,0.03262679,0.00939615,0.02003077,0.03566029
86,0.04900455,0.03162948,0.03260211,0.00939466,0.02002381,0.03568577
87,0.04895632,0.03162749,0.03258189,0.00939019,0.02001522,0.03571518
88,0.04891688,0.03162928,0.03256192,0.00939009,0.02001239,0.03573723
89,0.04887545,0.03163077,0.03253947,0.00938403,0.020004,0.03575521
90,0.04883452,0.03163002,0.0325352,0.00938319,0.01999759,0.03577756
91,0.04879717,0.03162824,0.03251201,0.00938403,0.01999555,0.03579723
92,0.04875103,0.0316265,0.03250162,0.00937887,0.01998726,0.03581611
93,0.04872013,0.03162625,0.0324974,0.00937827,0.01998433,0.03583637
94,0.04869371,0.0316257,0.03246328,0.00937772,0.01997931,0.03585346
95,0.04866823,0.0316256,0.03246487,0.00937668,0.01997529,0.03586936
96,0.04865193,0.0316257,0.0324597,0.0093739,0.01997355,0.03588808
97,0.04862094,0.03162272,0.03243169,0.00937365,0.01996421,0.03589806
98,0.04860028,0.031611,0.03242846,0.00937231,0.01995785,0.03590452
99,0.04856461,0.03158895,0.03238251,0.00936933,0.01995189,0.03591148
100,0.04850799,0.03156774,0.0323548,0.00936416,0.01993997,0.03592042
101,0.04839847,0.03155477,0.03231571,0.00934946,0.01990371,0.03591957
102,0.04822318,0.03153654,0.03224706,0.00931052,0.01983075,0.03592335
