Time [s],TGS2620,TGS2602,TGS2603,TGS2610,TGS2611,TGS2600
1,0.0548733527,0.0023507418,0.0113017197,0.009577161,0.0210069719,0.0404143182
2,0.0548923337,0.0023544069,0.0113015209,0.0095808181,0.0210133404,0.0403919159
3,0.054905565,0.0023622395,0.0113292918,0.009587755,0.0210177037,0.0403749382
4,0.0549219523,0.002365056,0.0113276052,0.0095940057,0.0210189529,0.0403484016
5,0.0549409112,0.0023702051,0.0113444303,0.0096008369,0.0210217691,0.0403245234
6,0.0549422291,0.0023721412,0.0113443953,0.0096035964,0.0210272545,0.040299513
7,0.0549161551,0.002379312,0.0113548574,0.0096055586,0.0210272817,0.0402797395
8,0.0548817268,0.0023810432,0.0113592763,0.0096065996,0.0210305885,0.0402563702
9,0.0548546222,0.0023870941,0.01135947,0.0096090604,0.0210312752,0.0402360725
10,0.0548374276,0.0023906915,0.0113724406,0.0096122586,0.0210331336,0.0402152765
11,0.0548193332,0.0024005557,0.0113779392,0.0096201185,0.0210369165,0.0401950104
12,0.0548076935,0.0024025006,0.0113846717,0.0096237081,0.0210390263,0.040171893
13,0.0548045561,0.0024064719,0.0113929762,0.0096286362,0.0210392564,0.0401505265
14,0.0548030473,0.0024099614,0.011407252,0.0096280949,0.021041204,0.0401280917
15,0.0548155064,0.0024156623,0.0114092836,0.0096347964,0.0210408068,0.0401073791
16,0.0548370091,0.0024182332,0.0114123011,0.0096336604,0.021046809,0.0400910678
17,0.0548559648,0.0024247937,0.0114212628,0.0096378,0.0210457486,0.0400720552
18,0.0548688436,0.0024242527,0.0114227542,0.0096332552,0.0210493796,0.0400522803
19,0.0548810919,0.0024242697,0.0114224498,0.0096201457,0.0210497055,0.0400326995
20,0.0548918332,0.002426904,0.0114159976,0.0096163459,0.0210559211,0.0400114548
21,0.0549495385,0.0024288278,0.011422466,0.0096186093,0.0210793018,0.0399934732
22,0.0549363409,0.0024338639,0.0114309335,0.0096196929,0.0210443243,0.040257328
23,0.0549353367,0.0024391254,0.0114490703,0.009623463,0.0210796386,0.0403331488
24,0.0549743697,0.0024427275,0.0114421666,0.0096264067,0.0210616232,0.0403255098
25,0.0548837706,0.0024498759,0.0114571048,0.0096291811,0.0210825258,0.0403125015
26,0.0548730879,0.0024591352,0.0114705153,0.0096431095,0.0209988566,0.0403002262
27,0.0548782533,0.0024730124,0.0114985584,0.0096699692,0.020931445,0.0402842037
28,0.0548579521,0.0024815292,0.0115242625,0.0096945379,0.0210331154,0.0400861775
29,0.0548729042,0.0024906786,0.0115428277,0.0097204336,0.0211142529,0.0400799728
30,0.0549262112,0.0024925577,0.0115704757,0.0097456004,0.0211643621,0.0400493165
31,0.0550114101,0.0025032936,0.0116217368,0.0097866712,0.0212550695,0.0400319935
32,0.0551765283,0.0025069758,0.0116392403,0.0098051636,0.0213453333,0.0400141484
33,0.0553732786,0.0025149112,0.011669862,0.0098272051,0.0214613354,0.0400092882
34,0.0555757679,0.0025197666,0.0116984762,0.009849219,0.0215751304,0.0400011398
35,0.0559246955,0.0025177973,0.0117174241,0.0098643725,0.0216750324,0.0399921825
36,0.0563342708,0.0025279895,0.0117618275,0.0098902777,0.0217649584,0.0399800254
