Time [s],TGS2620,TGS2602,TGS2603,TGS2610,TGS2611,TGS2600
1,0.0888297126,0.0060520347,0.0265442765,0.0154844507,0.0338958255,0.066950989
2,0.0888511495,0.0060221544,0.0264404831,0.0154824327,0.0339255566,0.0669267283
3,0.0888786924,0.0060070976,0.0263489581,0.0154884632,0.0339514642,0.0669035933
4,0.0889024761,0.0059881777,0.0262737359,0.0155003045,0.0339924064,0.0668776264
5,0.088910332,0.0059711471,0.0261956004,0.0155114005,0.0340214421,0.0668524215
6,0.0889211729,0.0059607938,0.026123475,0.015516396,0.0340523573,0.0668352961
7,0.0889319152,0.0059559754,0.0260744048,0.015517905,0.034072479,0.0668121333
8,0.0889418908,0.0059568149,0.0260051699,0.0155244147,0.0341022557,0.0667911673
9,0.0889529661,0.0059535007,0.0259600305,0.0155289923,0.0341301672,0.0667621179
10,0.0889585394,0.0059615217,0.0259119183,0.0155476645,0.0341590257,0.0667477421
11,0.0889623205,0.0059603892,0.0258788449,0.0155468878,0.0341900689,0.0667259668
12,0.088979713,0.0059700447,0.025841248,0.0155478694,0.0342142377,0.0667140301
13,0.0889810282,0.0059750953,0.0258175834,0.0155562099,0.0342346918,0.0666857574
14,0.0889890804,0.0059884047,0.0257832084,0.0155621163,0.0342663229,0.0666734717
15,0.0889847,0.0059949965,0.0257485503,0.0155732857,0.0342927208,0.0666561942
16,0.0889836544,0.0060073972,0.0257446071,0.0155777464,0.034309011,0.066629912
17,0.0889844601,0.0060105354,0.0257259761,0.0155756315,0.0343219245,0.0666078352
18,0.0889778426,0.0060283573,0.0257094086,0.0155858363,0.0343403987,0.0665790983
19,0.0889786048,0.0060500401,0.0256986984,0.0155872235,0.0343703491,0.0665609834
20,0.0889719097,0.0060675819,0.0257020889,0.0156014362,0.0344019733,0.0665558641
21,0.0889807321,0.0060739281,0.025700078,0.0156032371,0.0344180048,0.0665403436
22,0.0890239127,0.0060951652,0.025703281,0.0156171289,0.0344552839,0.0665551292
23,0.089067573,0.0061160914,0.0257080497,0.0156332151,0.034510045,0.0665766859
24,0.0890994626,0.0061422893,0.0257113228,0.0156538034,0.0345603078,0.0665845958
25,0.0891931938,0.0061650363,0.0257163886,0.0156752957,0.034665527,0.0665877849
26,0.0893414209,0.006181053,0.0257341299,0.0157096045,0.0347782119,0.066582945
27,0.0895102795,0.0061940257,0.0257702067,0.0157301913,0.0348731438,0.0665673999
28,0.0896991843,0.0062130836,0.0257842827,0.01576033,0.0349664771,0.0665420211
29,0.08983935,0.0062337175,0.0257924404,0.0157747795,0.0350243181,0.0665096532
30,0.0899873743,0.006250188,0.0258069961,0.015794744,0.0350912776,0.0664835013
31,0.0901628675,0.006265926,0.0258253214,0.0158130772,0.0351600752,0.0664517042
32,0.0903643578,0.0062834467,0.0258497986,0.0158301764,0.035235923,0.0664088939
33,0.0906612352,0.0063134185,0.0258665495,0.0158648245,0.0353421919,0.0663651736
34,0.0909405556,0.006342991,0.0259396172,0.0159060948,0.035460857,0.0663238605
