Time [s],TGS2620,TGS2602,TGS2603,TGS2610,TGS2611,TGS2600
1,0.0893108723,-6.96462000e-5,0.0140967067,0.0144438219,0.0318375052,0.0683813783
2,0.0892709561,-6.90879000e-5,0.0141036793,0.0144362507,0.03182365,0.0683472418
3,0.0892312152,-6.57577000e-5,0.0141064679,0.0144338687,0.0318176041,0.0683222882
4,0.089210474,-6.06660000e-5,0.0141254993,0.0144372952,0.0318143016,0.0683002516
5,0.089178756,-6.06895000e-5,0.0141143867,0.0144285107,0.0318059551,0.0682736139
6,0.089143671,-6.18286000e-5,0.0141093287,0.0144196208,0.0317963585,0.0682531275
7,0.0891171176,-6.29174000e-5,0.0141144774,0.0144169141,0.0317857291,0.0682229747
8,0.0890747048,-6.32642000e-5,0.0141182228,0.0144096946,0.0317762075,0.0681957959
9,0.0890504411,-5.86092000e-5,0.0141216642,0.0144053342,0.031770359,0.068161787
10,0.0890095192,-5.10135000e-5,0.0141209829,0.0144075222,0.031759021,0.0681403409
11,0.0889657952,-5.68501000e-5,0.0141143052,0.0143935652,0.0317489106,0.0681087047
12,0.0889451862,-5.24737000e-5,0.0141111764,0.0143959131,0.0317438729,0.0680803228
13,0.0889138516,-5.44496000e-5,0.0141075074,0.0143879932,0.0317361576,0.068066188
14,0.0888996973,-4.67049000e-5,0.0141171554,0.0143874636,0.0317340055,0.0680512385
15,0.0888785029,-3.97511000e-5,0.0141234741,0.0143863898,0.0317302636,0.0680364793
16,0.0888269186,-4.55645000e-5,0.0141181489,0.0143787526,0.0317201468,0.0680003938
17,0.0887842884,-4.07226000e-5,0.0141137604,0.0143685814,0.0317017383,0.0679635871
18,0.0887564635,-3.91956000e-5,0.0141062862,0.0143651219,0.031691259,0.0679383992
19,0.0887000577,-4.59414000e-5,0.0141143234,0.0143477558,0.0316646276,0.0678963977
20,0.0886485023,-3.60968000e-5,0.0141063259,0.014336949,0.0316454207,0.0678540207
21,0.088610107,-4.08261000e-5,0.0141131881,0.0143312997,0.0316392682,0.0678239309
22,0.0885569149,-3.84681000e-5,0.0141159882,0.0143270729,0.0316227318,0.0677863507
23,0.0885176988,-3.83422000e-5,0.0141068085,0.0143214466,0.0316234206,0.0677535656
24,0.0885456023,-2.88200000e-5,0.0141254046,0.014326726,0.0316486478,0.067731726
25,0.0886722935,-2.47675000e-5,0.0141444493,0.0143397608,0.0317245416,0.0677074927
26,0.0888970886,-1.87021000e-5,0.0141585851,0.0143669091,0.0318286192,0.0676904913
27,0.089291483,-1.10751000e-5,0.0141791679,0.0144081695,0.0319752743,0.0676541978
28,0.0896970505,-5.26700000e-6,0.0142166186,0.0144449452,0.0321100681,0.0676173649
29,0.0901341503,2.61560000e-6,0.0142456984,0.0144861674,0.0322399657,0.067584353
30,0.0905884931,8.41200000e-7,0.0142801988,0.0145103023,0.0323579868,0.0675466371
31,0.0911580902,9.71550000e-6,0.0143177521,0.0145515687,0.0324997783,0.0675124674
32,0.0916332851,1.73380000e-5,0.0143626949,0.0145860951,0.0326146513,0.0674740963
33,0.0921285024,2.46153000e-5,0.0144151322,0.014623657,0.0327351439,0.0674433488
34,0.0926380774,3.24530000e-5,0.0144712377,0.0146627301,0.0328572291,0.067414601
35,0.0931325476,4.34666000e-5,0.0145186636,0.0146956289,0.0329735253,0.0673858372
36,0.0937516465,5.59341000e-5,0.0145897264,0.0147564276,0.0331255432,0.0673309149
37,0.0942937511,7.84056000e-5,0.0146626865,0.0148116742,0.0332384906,0.0673067176
38,0.0947984639,0.0001061846,0.014755571,0.0148587262,0.0333381193,0.0672530169
39,0.0952628241,0.0001289289,0.0148365979,0.0148988246,0.0334299806,0.0672299436
40,0.0956982809,0.0001559473,0.0149138158,0.0149338492,0.0335094192,0.0671987075
41,0.0961649775,0.0001917849,0.0150274578,0.0149771724,0.0335971956,0.0671712492
42,0.096530603,0.000228857,0.0151116694,0.0150090386,0.0336642338,0.0671502004
43,0.0971513917,0.0002772734,0.0152624855,0.0150926366,0.0338349888,0.0673300313
44,0.0974969587,0.0003207688,0.015379301,0.0151328299,0.0339126829,0.0673127598
45,0.0978626197,0.0003659603,0.0155004488,0.015177614,0.0340008706,0.0673136558
46,0.0982981277,0.0004235503,0.015662878,0.0152364251,0.0341098688,0.0673226016
47,0.0986584929,0.0004767858,0.0157818413,0.0152812152,0.0341977902,0.0673149793
48,0.0990231312,0.0005365775,0.0159166357,0.0153385239,0.0342882557,0.0673263874
49,0.0993775934,0.0006040073,0.0160898242,0.0153926642,0.0343866167,0.06733176
