Time [s],TGS2620,TGS2602,TGS2603,TGS2610,TGS2611,TGS2600
1,0.0683704572,0.0051005141,0.0089943676,0.012877303,0.0310292442,0.0513897607
2,0.0683577583,0.0051181164,0.0090111915,0.0128838848,0.0310322487,0.0513694048
3,0.0683330353,0.0051293437,0.0090249416,0.0128844254,0.0310291778,0.051350583
4,0.0683120916,0.0051444795,0.0090412317,0.0128904789,0.0310395371,0.0513313695
5,0.0682980526,0.0051502402,0.0090498331,0.0128853101,0.0310395055,0.0513085208
6,0.0682686878,0.0051645623,0.0090681883,0.01288998,0.0310346202,0.0512819362
7,0.0683321759,0.0051880632,0.0090913086,0.0129222223,0.0310949068,0.0513289017
8,0.0683681624,0.0052069144,0.0091056757,0.0129381982,0.0311275546,0.0513567705
9,0.0683906741,0.0052276829,0.009129358,0.0129508229,0.0311582088,0.0513731338
10,0.0684008044,0.0052512688,0.0091448195,0.0129659023,0.0311763845,0.0513726408
11,0.0683915046,0.0052632667,0.0091589538,0.0129702582,0.0311869826,0.0513705046
12,0.0683736506,0.0052827677,0.009167313,0.0129742057,0.0311927331,0.0513568222
13,0.0683519372,0.0052923662,0.009180623,0.0129742155,0.0312001908,0.0513335036
14,0.0683283653,0.0053087995,0.0091945132,0.0129766773,0.0311981215,0.0513125485
15,0.0682943201,0.0053198705,0.0092086521,0.012978063,0.031196808,0.0512815436
16,0.0682629802,0.0053314595,0.0092153679,0.0129723133,0.0311920164,0.0512566442
17,0.0682289145,0.0053390571,0.0092251746,0.0129713635,0.0311829672,0.0512257851
18,0.0681900638,0.0053526007,0.0092394497,0.0129692841,0.0311820778,0.0511941975
19,0.0681570475,0.0053657934,0.0092555296,0.0129733673,0.0311801797,0.0511628177
20,0.0681209256,0.0053734045,0.0092600677,0.0129723589,0.0311807764,0.0511328911
21,0.068096083,0.0053817552,0.0092708876,0.0129665017,0.0311729912,0.0511056489
22,0.0680663008,0.0053934442,0.0092861231,0.0129687772,0.0311678454,0.0510793292
23,0.0680249207,0.0054048375,0.0093014661,0.0129684943,0.0311677845,0.0510446734
24,0.0680005415,0.0054142358,0.0093077576,0.0129661872,0.0311660701,0.0510170348
25,0.0680360701,0.0054286011,0.0093210654,0.0129753043,0.0312045497,0.0509928524
26,0.0681849816,0.0054455501,0.0093548582,0.0129949989,0.0312755229,0.05096279
27,0.0684686464,0.0054594613,0.0093959533,0.0130202639,0.0313789563,0.0509465152
28,0.0689940477,0.0054798827,0.0094561954,0.0130556589,0.0315326302,0.0509169394
29,0.0695404481,0.005493969,0.0095188893,0.0130800432,0.0316575573,0.0508955904
30,0.0701557053,0.0055060756,0.0095886888,0.0131083803,0.0317853347,0.0508760397
31,0.0708600515,0.0055261977,0.0096801689,0.0131535169,0.0319236886,0.050865866
32,0.0716046811,0.0055499208,0.0097858521,0.0131973999,0.0320609239,0.0508452286
33,0.0725184108,0.00559997,0.0099321759,0.0132481784,0.0322110963,0.0508266702
34,0.0732549265,0.0056900196,0.0100818066,0.0132893534,0.0323211432,0.0508212758
35,0.0739150388,0.005834469,0.0102638815,0.0133353678,0.0324233949,0.0508130626
36,0.074536692,0.006034767,0.0104899176,0.0133827538,0.0325255115,0.0508038461
37,0.0751995029,0.0063019007,0.0108054107,0.0134500588,0.0326414805,0.050807626
38,0.0756583368,0.0065511608,0.0110918601,0.0134990472,0.0327279244,0.0508241763
39,0.0760799404,0.0067926946,0.01139329,0.0135498255,0.032811556,0.0508450932
40,0.0765056016,0.0070429205,0.0117243144,0.0136014914,0.0329004293,0.0508657487
41,0.0768989755,0.0072806694,0.0120675172,0.0136610168,0.0329975549,0.0508934031
42,0.0773094903,0.0075360506,0.0124927984,0.0137207694,0.0330889384,0.0509411077
43,0.0776309391,0.0077243721,0.012840169,0.0137575986,0.0331557744,0.0509751303
44,0.0779482973,0.0079229463,0.0131879053,0.013796964,0.0332312426,0.0510213669
45,0.0782887963,0.0081162862,0.0135367831,0.0138333314,0.0333026794,0.0510683807
46,0.0786357285,0.0083002711,0.0138958508,0.0138932468,0.0333816344,0.0511127743
47,0.0790441344,0.0085415559,0.0143505855,0.0139705789,0.0334894999,0.0511774533
48,0.0793957529,0.0087665771,0.0147318471,0.0140375414,0.0335802442,0.0512452159
49,0.0797338476,0.0089520559,0.0151055118,0.014086405,0.0336481762,0.0513086013
50,0.0800454862,0.0091127353,0.015462621,0.014124294,0.0337027799,0.0513734328
51,0.0802821848,0.0092534642,0.0158159918,0.0141448863,0.0337382699,0.0514415559
52,0.0804965005,0.0094218079,0.016215038,0.01416113,0.0337643875,0.051530931
53,0.0806504892,0.00958982,0.0165452145,0.0141783939,0.0338103997,0.0515959903
54,0.0808026532,0.0097461441,0.0168607295,0.0141935435,0.0338392258,0.0516797099
55,0.0809483894,0.0098776679,0.017150527,0.0142016281,0.0338669854,0.0517588598
56,0.0810727099,0.0100064797,0.0174433868,0.0142228058,0.0339036038,0.0518389162
57,0.0812134339,0.0101635339,0.017776573,0.014252151,0.0339492604,0.0519383413
58,0.0812956748,0.0102582601,0.0180306569,0.0142754356,0.0339802043,0.0520271496
59,0.0813791192,0.0104057493,0.018295152,0.0143109611,0.0340201195,0.052118195
60,0.0814985732,0.0105504408,0.0185684713,0.0143306746,0.0340640408,0.052210527
61,0.0816516142,0.0107266904,0.0188985577,0.0143696896,0.0341136129,0.0523155837
62,0.0816956537,0.0109244011,0.0191922542,0.0144019606,0.0341268792,0.0524099229
63,0.0815927831,0.0111169924,0.0194754374,0.0144018907,0.0340730921,0.0525152348
64,0.0813835004,0.0112802944,0.019728944,0.014378298,0.0339871555,0.0526249465
65,0.0811012181,0.0114203331,0.0199342372,0.0143418978,0.0338839553,0.052733378
66,0.0807005696,0.0115770968,0.0201537999,0.0143079809,0.0337718078,0.0528593735
67,0.0803490823,0.0116928271,0.0203253437,0.0142749565,0.0336802752,0.0529561973
68,0.0799865507,0.0117815497,0.0204712186,0.0142476549,0.0335938407,0.0530505763
