Time [s],TGS2620,TGS2602,TGS2603,TGS2610,TGS2611,TGS2600
1,0.12803427,-0.00124199,0.01426236,0.02185096,0.0456587,0.09549283
2,0.12805007,-0.00123867,0.01428339,0.02185639,0.04567028,0.09551145
3,0.12805731,-0.00123817,0.01429597,0.02185438,0.04566967,0.09551879
4,0.12807844,-0.00123203,0.01430272,0.02185327,0.04567289,0.09552211
5,0.12809394,-0.00122961,0.01431439,0.02185196,0.04568034,0.09553952
6,0.12811286,-0.00122508,0.01431942,0.0218582,0.04568336,0.09554435
7,0.12811729,-0.00122388,0.01433139,0.02185257,0.04568647,0.09554053
8,0.12813218,-0.00121824,0.01436249,0.02185861,0.04569805,0.09555421
9,0.12813621,-0.00121694,0.01437416,0.0218576,0.04569765,0.09556307
10,0.12815573,-0.0012112,0.0143809,0.0218578,0.04570761,0.09556468
11,0.12815251,-0.00120979,0.01439208,0.02185378,0.04569704,0.09555562
12,0.12815362,-0.00120395,0.01441683,0.02185418,0.04570519,0.09555583
13,0.12815311,-0.00120607,0.01443615,0.02185307,0.04570288,0.09555421
14,0.12816277,-0.00119711,0.01445527,0.02185941,0.04570972,0.09555592
15,0.12816076,-0.00119349,0.01446936,0.02184885,0.0457073,0.0955514
16,0.12816227,-0.00119067,0.01448416,0.02185388,0.04571385,0.09554667
17,0.12815312,-0.00118443,0.0144915,0.02185287,0.04570871,0.09554294
18,0.12815583,-0.00118282,0.01451485,0.0218582,0.04571928,0.09554295
19,0.12815281,-0.00118262,0.01454011,0.02184894,0.04572079,0.09553429
20,0.12815231,-0.00117618,0.01453578,0.02184945,0.04571938,0.09552906
21,0.12814697,-0.00117255,0.01455168,0.02184915,0.04572029,0.0955204
22,0.12815734,-0.00116571,0.01458449,0.0218569,0.04572874,0.09552523
23,0.12817123,-0.00117014,0.01459294,0.02185226,0.04572844,0.09552644
24,0.12817223,-0.00115776,0.01462061,0.02185579,0.04574223,0.09553188
25,0.12817455,-0.00115646,0.01463742,0.02185317,0.04573911,0.09553248
26,0.1281825,-0.00115535,0.01465513,0.02185962,0.04575722,0.0955359
27,0.12817565,-0.00115243,0.0146669,0.0218574,0.04574947,0.09552885
28,0.12818401,-0.00114317,0.01470877,0.02186585,0.04578117,0.09552604
29,0.12826884,-0.00112757,0.01473664,0.02189363,0.04581237,0.09551376
30,0.12846598,-0.00110875,0.01481151,0.02194595,0.04598948,0.0955192
31,0.12876255,-0.00110403,0.01484875,0.02200171,0.04620765,0.09551879
32,0.129153,-0.00108289,0.01492754,0.02207396,0.04646447,0.09551517
33,0.12967498,-0.00107514,0.01498832,0.02215628,0.04678488,0.09550229
34,0.13015198,-0.00106206,0.01506873,0.0222239,0.04703183,0.09550631
35,0.13066631,-0.00106055,0.01512267,0.02228348,0.04726691,0.09550269
