Time [s],TGS2620,TGS2602,TGS2603,TGS2610,TGS2611,TGS2600
1,0.1067300109,0.0056352868,0.0174849979,0.0176752499,0.0407061719,0.0717386384
2,0.1067348702,0.0056440182,0.0175037285,0.0176797193,0.0407180751,0.0717534163
3,0.1067488085,0.0056535788,0.0175277028,0.0176890551,0.040734408,0.071774769
4,0.1067614301,0.0056610031,0.0175465357,0.0176894669,0.0407445854,0.071788491
5,0.1067758612,0.005670793,0.0175810622,0.0176951158,0.0407618414,0.0718030597
6,0.1067863679,0.0056789978,0.0175971028,0.0177057816,0.0407771225,0.0718242785
7,0.1068076894,0.0056975771,0.0176319483,0.0177132084,0.0407960457,0.0718504587
8,0.1068256192,0.0057038867,0.0176514808,0.0177191957,0.0408075944,0.0718606154
9,0.1068441435,0.0057145526,0.0176701621,0.0177277907,0.0408282,0.0718762983
10,0.1068524998,0.0057204351,0.0176985865,0.0177322629,0.0408390648,0.0718925068
11,0.1068711866,0.005733149,0.0177131093,0.0177359595,0.0408557835,0.071913025
12,0.1068801781,0.0057418567,0.0177440747,0.0177438591,0.0408722221,0.0719312056
13,0.1069035653,0.005754153,0.0177674902,0.0177527724,0.0408855482,0.0719492775
14,0.1069267006,0.005755804,0.0178035963,0.0177556469,0.0408952615,0.0719526806
15,0.1069577682,0.0057669226,0.0178183025,0.0177631975,0.0409053815,0.071970852
16,0.1069798383,0.0057729027,0.0178401734,0.017762276,0.0409156979,0.071981471
17,0.1070098656,0.005787127,0.0178671805,0.0177774094,0.0409362154,0.0719919409
18,0.1070286314,0.0057989411,0.0178951106,0.0177823542,0.0409467093,0.0720102081
19,0.1070485789,0.0057980239,0.0179064004,0.0177846321,0.0409576831,0.0720215806
20,0.1070731163,0.00581337,0.0179302369,0.0177867203,0.040965142,0.0720268894
21,0.1070855534,0.0058232521,0.0179582339,0.0177958696,0.0409787445,0.0720365604
22,0.1070808978,0.0058297196,0.0179716743,0.0177926976,0.0409858881,0.0720358489
23,0.1070883124,0.0058354231,0.0180008964,0.0178048004,0.0410004328,0.0720508919
24,0.1070945284,0.0058441862,0.0180158375,0.0178028432,0.0409997442,0.072044653
